AIDS Report Number,Local Event Date,Event City,Event State,Event Airport,Event Type,Aircraft Damage,Flight Phase,Aircraft Make,Aircraft Model,Aircraft Series,Operator,Primary Flight Type,Flight Conduct Code,Flight Plan Filed Code,Aircraft Registration Nbr,Total Fatalities,Total Injuries,Aircraft Engine Make,Aircraft Engine Model,Engine Group Code,Nbr of Engines,PIC Certificate Type,PIC Flight Time Total Hrs,PIC Flight Time Total Make-Model
19951009043849I,9-Oct-95,MOBILE,AL,,INCIDENT,,TO INITIAL CLIMB (1ST POWER REDUCTION),BOEING,757,24APF,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,404UP,0,0,,,,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,7300,
19960222004729I,22-Feb-96,SYRACUSE,NY,SYRACUSE HANCOCK INTL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,BOEING,727,25C,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,932UP,0,0,,,,3,AIRLINE TRANSPORT,,200
19960226044179I,26-Feb-96,BUFFALO,NY,BUFFALO NIAGARA INTL,INCIDENT,,FINAL APPROACH,BOEING,727,25C,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,948UP,0,0,,,,3,,,
19960727026939I,27-Jul-96,RICHMOND,VA,RICHMOND INTL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",BOEING,757,24APF,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,418UP,0,0,,,,2,AIRLINE TRANSPORT,4869,53
19960806030339I,6-Aug-96,LOUISVILLE,KY,LOUISVILLE INTL-STANDIFORD FIELD,INCIDENT,MINOR,TAKEOFF GROUND ROLL,BOEING,757,24APF,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,427UP,0,0,,,,2,,,
19971005033419I,5-Oct-97,LOUISVILLE,KY,LOUISVILLE INTL-STANDIFORD FIELD,INCIDENT,MINOR,DESCENT,BOEING,727,27C,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,907UP,0,0,RROYCE,TAY65154,TAY,3,AIRLINE TRANSPORT,,
19980513013829I,13-May-98,DALLAS-FORT WORTH,TX,DALLAS/FORT WORTH INTL,INCIDENT,SUBSTANTIAL,"GROUND TAXI, OTHER AIRPLANE",BOEING,757,200,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,467UP,0,0,,,,2,AIRLINE TRANSPORT,10125,3200
19990920028079I,20-Sep-99,JACKSONVILLE,FL,JACKSONVILLE INTL,INCIDENT,,FORCED/PRECAUTIONARY LANDING,BOEING,757,24APF,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,426UP,0,0,,,,2,AIRLINE TRANSPORT,10665,5156
20000620034529I,20-Jun-00,ORLANDO,FL,ORLANDO INTL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",BOEING,767,34AF,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,312UP,0,0,,,,2,AIRLINE TRANSPORT,14000,1200
20001221026459I,21-Dec-00,WINDSOR LOCKS,CT,BRADLEY INTL,INCIDENT,,TO ABORTED (FIXED WING),BOEING,727,247,UNITED PARCEL SERVICE CO,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,211UP,0,0,PWA,JT8D15,JT8,3,AIRLINE TRANSPORT,15000,3200
20010105002739I,5-Jan-01,NEWBURGH,NY,STEWART INTL,INCIDENT,,CLIMB,BOEING,757,24APF,UNITED PARCEL SERVICE CO,SUPPLEMENTAL OR COMMERCIAL OPERATOR,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,412UP,0,0,,,,2,,,
20010316004949I,16-Mar-01,CEDAR RAPIDS,IA,THE EASTERN IOWA,INCIDENT,,ROLL-OUT (FIXED WING),BOEING,727,108C,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,936UP,0,0,,,,3,AIRLINE TRANSPORT,,
20010718018579I,18-Jul-01,ANCHORAGE,AK,TED STEVENS ANCHORAGE INTL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,BOEING,747,283B,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,523UP,0,0,,,,4,AIRLINE TRANSPORT,10000,
20010726020189I,26-Jul-01,PITTSBURGH,PA,PITTSBURGH INTL,INCIDENT,,NORMAL CRUISE,BOEING,727,25C,UNITED PARCEL SERVICE CO,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,951UP,0,0,RROYCE,TAY65154,TAY,3,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,,
20011005032699I,5-Oct-01,,MO,,INCIDENT,,NORMAL CRUISE,BOEING,727,247,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,211UP,0,0,PWA,JT8D,JT8,3,AIRLINE TRANSPORT,5500,271
20021015030929I,15-Oct-02,ONTARIO,CA,ONTARIO INTL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,BOEING,747,283B,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,523UP,0,0,,,,4,AIRLINE TRANSPORT,9850,852
20030124006669I,24-Jan-03,WEST PALM BEACH,FL,PALM BEACH INTL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,BOEING,757,24APF,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,440UP,0,0,,,,2,AIRLINE TRANSPORT,6000,120
20030717016449I,17-Jul-03,OAKLAND,CA,METROPOLITAN OAKLAND INTL,INCIDENT,MINOR,CLIMB,BOEING,767,34AF,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,304UP,0,0,,,,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,9000,3600
20040206001159I,6-Feb-04,LAS VEGAS,NV,MC CARRAN INTL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",BOEING,727,185C,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,954UP,0,0,,,,3,,,
20040330004599I,30-Mar-04,OAKLAND,CA,METROPOLITAN OAKLAND INTL,INCIDENT,,FINAL APPROACH,BOEING,767,34AF,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,314UP,0,0,GE,CF680,CF6,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,,
20051215029949I,15-Dec-05,HOUSTON,TX,GEORGE BUSH INTERCONTINENTAL/HOUSTON,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",BOEING,767,34AF,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,319UP,0,0,,,,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,16000,6500
20060720015389I,20-Jul-06,ONTARIO,CA,ONTARIO INTL,INCIDENT,,INITIAL APPROACH-INSTRUMENT FLIGHT RULES,BOEING,767,34AF,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,324UP,0,0,,,,2,,,
20070726016129I,26-Jul-07,PHOENIX,AZ,PHOENIX SKY HARBOR INTL,INCIDENT,NONE,FINAL APPROACH,BOEING,757,24APF,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,468UP,0,0,,,,2,AIRLINE TRANSPORT,0,0
20071227830919I,27-Dec-07,DECATUR,IL,DECATUR,INCIDENT,NONE,NORMAL CRUISE,BOEING,767,34AF,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,307UP,0,0,GE,CF680,CF6,2,,,
20080130010079I,30-Jan-08,DECATUR,IL,DECATUR,INCIDENT,NONE,LEVEL OFF TOUCHDOWN,BOEING,757,24APF,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,UNKNOWN,434UP,0,0,PWA,PW2040,2037,2,AIRLINE TRANSPORT,11398,6115
20080508836829I,8-May-08,LOUISVILLE,KY,LOUISVILLE INTL-STANDIFORD FIELD,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",BOEING,747,212B,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,520UP,0,0,PWA,JT9D*,JT9,4,AIRLINE TRANSPORT,10537,4000
20080529834149I,29-May-08,OMAHA,NE,EPPLEY AIRFIELD,INCIDENT,NONE,NORMAL CRUISE,BOEING,767,34AF,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,311UP,0,0,,,,2,,0,0
20080614834929I,14-Jun-08,SALINA,KS,SALINA MUNI,INCIDENT,NONE,NORMAL CRUISE,BOEING,757,24APF,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,439UP,0,0,,,,2,AIRLINE TRANSPORT,14400,8000
20130122001499I,22-Jan-13,LOUISVILLE,KY,,INCIDENT,NONE,LANDING: APPROACH,BOEING,757,24APF,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,,427UP,0,0,P & W,PW2040,,,AIRLINE TRANSPORT,5346,2782
20150519012399I,19-May-15,MIAMI,FL,MIAMI INTL,INCIDENT,NONE,LANDING: APPROACH,BOEING,767,34AF,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,,352UP,0,0,GE,CF6-80C2B6F,,,,,
20170629015229I,29-Jun-17,LOUISVILLE,KY,LOUISVILLE INTL-STANDIFORD FIELD,INCIDENT,MINOR,LANDING: TOUCHDOWN,BOEING,767,34AF,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,,304UP,0,0,GE,CF6-80 SERIES,,,,,
20171112021099I,12-Nov-17,PHOENIX,AZ,PHOENIX SKY HARBOR INTL,INCIDENT,MINOR,LANDING: ROLLOUT,BOEING,767,34AF,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,,327UP,0,0,GE,CF6-80 SERIES,,,,,
20181016024299I,16-Oct-18,COLUMBIA,SC,COLUMBIA METROPOLITAN,INCIDENT,MINOR,UNKNOWN,BOEING,767,346,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,,362UP,0,0,,,,,,,
20040106005519I,06-JAN-04,ANCHORAGE,AK,,INCIDENT,,NORMAL CRUISE,MCDONNELL DOUGLAS,MD11,F,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,270UP,0,0,PWA,PW4460,4460,3,,,
20041026026569I,26-OCT-04,ONTARIO,CA,ONTARIO INTL,INCIDENT,,CLIMB,MCDONNELL DOUGLAS,MD11,F,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,253UP,0,0,,,,3,,,
20061114025179I,14-NOV-06,DALLAS-FORT WORTH,TX,DALLAS/FORT WORTH INTL,INCIDENT,SUBSTANTIAL,LEVEL OFF TOUCHDOWN,MCDONNELL DOUGLAS,MD11,F,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,UNKNOWN,282UP,0,0,,,,3,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,10800,440
20091205052699I,05-DEC-09,HONOLULU,HI,HONOLULU INTL,INCIDENT,SUBSTANTIAL,CRUISE-LEVEL FLIGHT,MCDONNELL DOUGLAS,MD11,F,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,,296UP,0,0,P&W,PW4000 SER,,,,0,0
20100604035079I,04-JUN-10,ANCHORAGE,AK,TED STEVENS ANCHORAGE INTL,INCIDENT,SUBSTANTIAL,CLIMB,MCDONNELL DOUGLAS,MD11,F,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,,260UP,0,0,GE,CF6-80C2D1F,,,AIRLINE TRANSPORT,5730,2473
20100808043909I,08-AUG-10,ANCHORAGE,AK,TED STEVENS ANCHORAGE INTL,INCIDENT,MINOR,LANDING: APPROACH,MCDONNELL DOUGLAS,MD11,F,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,,294UP,0,0,P & W,PW4460,UNKNOW,,AIRLINE TRANSPORT,0,317
20121015024649I,15-OCT-12,LOUISVILLE,KY,LOUISVILLE INTL-STANDIFORD FIELD,INCIDENT,MINOR,LANDING: TOUCHDOWN,MCDONNELL DOUGLAS,MD11,F,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,,295UP,0,0,P & W,PW4460,,,AIRLINE TRANSPORT,6500,753
20131007025899I,07-OCT-13,LOUISVILLE,KY,LOUISVILLE INTL-STANDIFORD FIELD,INCIDENT,MINOR,TAKEOFF: ROTATION,MCDONNELL DOUGLAS,MD11,F,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,,281UP,0,0,P&W,PW4000 SER,,,,,
20170212007729I,12-FEB-17,,,,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,MCDONNELL DOUGLAS,MD11,F,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,,270UP,0,0,P&W,PW4000 SER,,,,,
20171219023319I,19-DEC-17,HONOLULU,HI,HONOLULU INTL,INCIDENT,MINOR,LANDING: TOUCHDOWN,MCDONNELL DOUGLAS,MD11,F,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,,294UP,0,0,P & W,PW4460,,,AIRLINE TRANSPORT,6476,4835
20230127019579I,27-JAN-23,LOUISVILLE,KY,LOUISVILLE INTL-STANDIFORD FIELD,,NONE,,MCDONNELL DOUGLAS,MD11,F,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,,275UP,0,0,P & W,PW4462,,,,,
20240905020419I,05-SEP-24,SACRAMENTO,CA,SACRAMENTO MATHER,,NONE,,MCDONNELL DOUGLAS,MD11,F,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,,276UP,0,0,P & W,PW4462,,,,4669,
